2021-08-14 18:50:39.481 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:39.509 +01:00 [DBG] [   28ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:39.706 +01:00 [DBG] [  225ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:39.761 +01:00 [DBG] [  279ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:39.999 +01:00 [DBG] [  517ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:41.471 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:41.489 +01:00 [DBG] [   17ms] HardwarePerformanceService.UpdateRamUsage
2021-08-14 18:50:41.555 +01:00 [DBG] [   84ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-14 18:50:41.742 +01:00 [DBG] [  270ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-14 18:50:41.792 +01:00 [DBG] [  321ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-14 18:50:43.500 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-14 18:50:43.522 +01:00 [DBG] [   21ms] HardwarePerformanceService.UpdateRamUsage
